begin HEADER
  File_Creation = "2009-07-13T17:55:35 UTC"
  File_ID       = "GOSAT TANSO FTS Conversion Factors"
  Labels        = "Wavenumber" "CNV(B3P_gainH)" "CNV(B3S_gainH)" "CNV(B3P_gainM)" "CNV(B3S_gainM)"
  Num_Columns   = 5
  Num_Rows      = 6501
end HEADER

#      Wavenumber   CNV(B3P_gainH)   CNV(B3S_gainH)   CNV(B3P_gainM)   CNV(B3S_gainM)
   4.40019300e+03              N/A              N/A              N/A              N/A
   4.40039300e+03              N/A              N/A              N/A              N/A
   4.40059300e+03              N/A              N/A              N/A              N/A
   4.40079300e+03              N/A              N/A              N/A              N/A
   4.40099300e+03              N/A              N/A              N/A              N/A
   4.40119300e+03              N/A              N/A              N/A              N/A
   4.40139300e+03              N/A              N/A              N/A              N/A
   4.40159300e+03              N/A              N/A              N/A              N/A
   4.40179300e+03              N/A              N/A              N/A              N/A
   4.40199300e+03              N/A              N/A              N/A              N/A
   4.40219300e+03              N/A              N/A              N/A              N/A
   4.40239300e+03              N/A              N/A              N/A              N/A
   4.40259300e+03              N/A              N/A              N/A              N/A
   4.40279300e+03              N/A              N/A              N/A              N/A
   4.40299300e+03              N/A              N/A              N/A              N/A
   4.40319300e+03              N/A              N/A              N/A              N/A
   4.40339300e+03              N/A              N/A              N/A              N/A
   4.40359300e+03              N/A              N/A              N/A              N/A
   4.40379300e+03              N/A              N/A              N/A              N/A
   4.40399300e+03              N/A              N/A              N/A              N/A
   4.40419300e+03              N/A              N/A              N/A              N/A
   4.40439300e+03              N/A              N/A              N/A              N/A
   4.40459300e+03              N/A              N/A              N/A              N/A
   4.40479300e+03              N/A              N/A              N/A              N/A
   4.40499300e+03              N/A              N/A              N/A              N/A
   4.40519300e+03              N/A              N/A              N/A              N/A
   4.40539300e+03              N/A              N/A              N/A              N/A
   4.40559300e+03              N/A              N/A              N/A              N/A
   4.40579300e+03              N/A              N/A              N/A              N/A
   4.40599300e+03              N/A              N/A              N/A              N/A
   4.40619300e+03              N/A              N/A              N/A              N/A
   4.40639290e+03              N/A              N/A              N/A              N/A
   4.40659290e+03              N/A              N/A              N/A              N/A
