begin HEADER
  File_ID = "Aerosol Perturbations"
  File_Creation = "Tue Oct 16 11:00:00 PDT 2007"
  File_Type = "Matrix"
  Num_Rows = 12
  Num_Columns = 10
  Labels = "Pressure" "LOW_005" "MID_005" "HIGH_005" "LOW_015" "MID_015" "HIGH_015" "LOW_025" "MID_025" "HIGH_025"
end HEADER
#  Pressure         LOW_005         MID_005        HIGH_005        LOW_015        MID_015       HIGH_015        LOW_025        MID_025       HIGH_025
   1.00E+02  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33
   7.00E+03  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33
   1.00E+04  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33  1.0260272E-33
   2.00E+04  6.4437587E-11  6.4437587E-11  6.4437587E-11  6.4437587E-11  6.4437587E-11  6.4437587E-11  6.4437587E-11  6.4437587E-11  6.4437587E-11
   3.50E+04  1.3673577E-10  1.3673577E-10  1.3673577E-10  1.3673577E-10  1.3673577E-10  1.3673577E-10  1.3673577E-10  1.3673577E-10  1.3673577E-10
   4.50E+04  2.1962814E-10  2.1962814E-10  2.1962814E-10  2.1962814E-10  2.1962814E-10  2.1962814E-10  2.1962814E-10  2.1962814E-10  2.1962814E-10
   5.50E+04  4.0318358E-10  4.0318358E-10  4.0318358E-10  4.0318358E-10  4.0318358E-10  4.0318358E-10  4.0318358E-10  4.0318358E-10  4.0318358E-10
   6.50E+04  7.2283603E-10  7.2283603E-10  7.2283603E-10  7.2283603E-10  7.2283603E-10  7.2283603E-10  7.2283603E-10  7.2283603E-10  7.2283603E-10
   7.50E+04  1.2617465E-09  1.2617465E-09  1.2617465E-09  1.2617465E-09  1.2617465E-09  1.2617465E-09  1.2617465E-09  1.2617465E-09  1.2617465E-09
   8.50E+04  1.9999047E-09  1.9999047E-09  1.9999047E-09  1.9999047E-09  1.9999047E-09  1.9999047E-09  1.9999047E-09  1.9999047E-09  1.9999047E-09
   9.50E+04  2.9980108E-09  2.9980108E-09  2.9980108E-09  2.9980108E-09  2.9980108E-09  2.9980108E-09  2.9980108E-09  2.9980108E-09  2.9980108E-09
   1.05E+05  4.2864471E-09  4.2864471E-09  4.2864471E-09  4.2864471E-09  4.2864471E-09  4.2864471E-09  4.2864471E-09  4.2864471E-09  4.2864471E-09
